productKey,productName,category,subCategory,productCost,lastSaleDate,recencyInMonths,productSegment,lifespan,totalOrders,totalSales,totalQuantity,totalCustomers,avgSellingPrice,avgOrderRevenue,avgMonthlyRevenue
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,8,High-Performer,11,49,165375,49,49,3375.0,3375,15034
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,8,High-Performer,11,45,151875,45,45,3375.0,3375,13807
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,8,High-Performer,11,60,202500,60,60,3375.0,3375,18409
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,8,High-Performer,11,57,192375,57,57,3375.0,3375,17489
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,8,High-Performer,11,58,197200,58,58,3400.0,3400,17927
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,8,High-Performer,11,42,142800,42,42,3400.0,3400,12982
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,9,High-Performer,11,49,166600,49,49,3400.0,3400,15145
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,8,High-Performer,11,36,122400,36,36,3400.0,3400,11127
16,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,8,High-Performer,11,281,1005418,281,281,3578.0,3578,91402
17,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,8,High-Performer,11,337,1205786,337,337,3578.0,3578,109617
18,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,8,High-Performer,11,302,1080556,302,302,3578.0,3578,98232
19,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,8,High-Performer,11,295,1055510,295,295,3578.0,3578,95955
20,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,8,High-Performer,11,336,1202208,336,336,3578.0,3578,109292
36,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,8,Mid-Range,11,63,47565,63,63,755.0,755,4324
37,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,8,Mid-Range,8,60,45552,60,60,759.2,759,5694
38,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,8,High-Performer,10,89,66915,89,89,751.9,752,6692
39,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,8,High-Performer,11,76,57996,76,76,763.1,763,5272
40,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,9,High-Performer,10,76,57156,76,76,752.1,752,5716
41,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,8,Mid-Range,11,65,49047,65,65,754.6,755,4459
42,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,8,High-Performer,11,72,54528,72,72,757.3,757,4957
43,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,8,High-Performer,11,88,66720,88,88,758.2,758,6065
44,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,8,Mid-Range,11,61,46083,61,61,755.5,755,4189
45,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,8,High-Performer,10,74,56346,74,74,761.4,761,5635
46,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,8,Mid-Range,10,53,40071,53,53,756.1,756,4007
47,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,9,High-Performer,10,75,57381,75,75,765.1,765,5738
48,Road-250 Red- 44,Bikes,Road Bikes,1519,2012-12-25,8,High-Performer,11,144,351792,144,144,2443.0,2443,31981
49,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,8,High-Performer,11,162,395766,162,162,2443.0,2443,35979
50,Road-250 Red- 52,Bikes,Road Bikes,1519,2012-12-25,8,High-Performer,11,133,324919,133,133,2443.0,2443,29538
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,2014-01-28,7,Mid-Range,1,2025,20340,2034,2004,10.0,10,20340
105,Road Bottle Cage,Accessories,Bottles and Cages,3,2014-01-25,7,Mid-Range,0,1711,15399,1711,1699,9.0,9,15399
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,2013-12-13,9,Mid-Range,11,48,25920,48,48,540.0,540,2356
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,2013-12-25,8,Mid-Range,11,49,26460,49,49,540.0,540,2405
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,2013-12-25,8,Mid-Range,11,58,31320,58,58,540.0,540,2847
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,2013-12-26,8,Mid-Range,11,56,30240,56,56,540.0,540,2749
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,2013-12-24,8,Mid-Range,11,41,22140,41,41,540.0,540,2013
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,2013-12-26,8,Mid-Range,11,45,25425,45,45,565.0,565,2311
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,8,Mid-Range,11,45,25425,45,45,565.0,565,2311
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,2013-12-25,8,Mid-Range,11,39,22035,39,39,565.0,565,2003
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,2013-12-27,8,Mid-Range,11,50,28250,50,50,565.0,565,2568
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,8,Mid-Range,11,48,27120,48,48,565.0,565,2465
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,2013-12-27,8,High-Performer,11,148,113812,148,148,769.0,769,10347
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,2013-12-24,8,High-Performer,11,128,98432,128,128,769.0,769,8948
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,8,High-Performer,11,129,99201,129,129,769.0,769,9018
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,2013-12-24,8,High-Performer,11,138,106122,138,138,769.0,769,9647
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,2013-12-28,8,High-Performer,11,581,1292559,581,564,2224.7,2225,117505
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,2013-12-28,8,High-Performer,11,614,1363128,614,604,2220.1,2220,123921
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,2013-12-27,8,High-Performer,11,620,1373454,620,600,2215.2,2215,124859
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,8,High-Performer,11,596,1339394,596,583,2247.3,2247,121763
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,2013-12-28,8,High-Performer,11,560,1257368,560,547,2245.3,2245,114306
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,2013-12-28,8,High-Performer,11,579,1298709,579,566,2243.0,2243,118064
126,Road-750 Black- 44,Bikes,Road Bikes,344,2013-12-28,8,High-Performer,11,360,194400,360,360,540.0,540,17673
127,Road-750 Black- 48,Bikes,Road Bikes,344,2013-12-28,8,High-Performer,11,363,196020,363,363,540.0,540,17820
128,Road-750 Black- 52,Bikes,Road Bikes,344,2013-12-28,8,High-Performer,0,386,208440,386,386,540.0,540,208440
129,Road-750 Black- 58,Bikes,Road Bikes,344,2013-12-28,8,High-Performer,11,334,180360,334,334,540.0,540,16396
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,2013-12-26,8,High-Performer,11,270,293760,270,267,1088.0,1088,26705
131,Road-550-W Yellow- 40,Bikes,Road Bikes,713,2013-12-28,8,High-Performer,11,266,289880,266,264,1089.8,1090,26353
132,Road-550-W Yellow- 42,Bikes,Road Bikes,713,2013-12-26,8,High-Performer,11,306,334440,306,303,1092.9,1093,30404
133,Road-550-W Yellow- 44,Bikes,Road Bikes,713,2013-12-27,8,High-Performer,11,287,312200,287,286,1087.8,1088,28382
134,Road-550-W Yellow- 48,Bikes,Road Bikes,713,2013-12-27,8,High-Performer,10,261,283680,261,258,1086.9,1087,28368
135,Road-350-W Yellow- 40,Bikes,Road Bikes,1083,2013-12-27,8,High-Performer,11,246,418446,246,246,1701.0,1701,38041
136,Road-350-W Yellow- 42,Bikes,Road Bikes,1083,2013-12-27,8,High-Performer,11,235,399735,235,235,1701.0,1701,36340
137,Road-350-W Yellow- 44,Bikes,Road Bikes,1083,2013-12-27,8,High-Performer,11,216,367416,216,216,1701.0,1701,33401
138,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,2013-12-25,8,High-Performer,11,232,394632,232,232,1701.0,1701,35876
139,Road-250 Black- 44,Bikes,Road Bikes,1555,2013-12-27,8,High-Performer,11,271,628384,271,266,2318.8,2319,57126
140,Road-250 Black- 48,Bikes,Road Bikes,1555,2013-12-28,8,High-Performer,11,298,691213,298,289,2319.5,2320,62838
141,Road-250 Black- 52,Bikes,Road Bikes,1555,2013-12-25,8,High-Performer,11,319,734425,319,312,2302.3,2302,66766
142,Road-250 Black- 58,Bikes,Road Bikes,1555,2013-12-26,8,High-Performer,11,270,622026,270,265,2303.8,2304,56548
143,Road-250 Red- 58,Bikes,Road Bikes,1555,2013-12-27,8,High-Performer,11,306,702666,306,301,2296.3,2296,63879
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,461,2013-12-28,8,Mid-Range,11,53,39326,53,53,742.0,742,3575
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,2013-12-23,8,Mid-Range,11,48,35616,48,48,742.0,742,3238
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,461,2013-12-17,8,Mid-Range,11,55,40810,55,55,742.0,742,3710
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,2013-12-27,8,Mid-Range,11,57,42294,57,57,742.0,742,3845
